Modern English Word,Semantic Field,PIE Root,Proto-Germanic,"Old English
(Anglo-Saxon)
450–1150 CE","Old Norse
800–1300 CE","Middle English
1150–1500 CE","Classical Latin
75 BCE–200 CE","Vulgar / Medieval Latin
200–1500 CE","Ancient Greek
800–300 BCE","Old French /
Anglo-Norman
900–1400 CE",Sanskrit,Arabic,Persian / Avestan,Hebrew / Aramaic,"Celtic
(Old Irish / Welsh)",Meaning Drift Notes,Brand Name Candidates,Tone / Register,"Syllables
(Mod. EN)"
Abundance,Plenty / Overflow,"*wed- (water, wave)",—,—,—,habundance,abundantia,—,perisseia (περισσεία),abondance,pūrṇatā (पूर्णता),—,—,—,—,"ab+unda=overflow from waves; rich watery root gives flooding, overflowing imagery",ABUNDA · UNDHA · ABUNDIS,Latin,3
Accomplishment,Achievement / Completion,*pleh₁- (to fill),—,—,—,acomplisshment,complementum,—,plērōsis (πλήρωσις),acomplissement,sampūrti (संपूर्ति),—,—,—,—,From à chef=to a head; the completion metaphor via Latin caput (head); brought to its crown,COMPLEN · PLEROS · PLENOR,French/Latin,4
Achievement,Mastery / Attainment,*kaput- (head),—,—,—,achevement,—,—,—,achever (to finish),siddhi (सिद्धि),—,—,—,—,"Old French achever=to finish, from à chef=to a head; reaching the very top",ACHEV · KAPHOS · SIDDH,French,3
Acme,Peak / Summit / Prime,"*ak- (sharp, pointed)",—,—,—,acme,—,—,akmē (ἀκμή),—,agra (अग्र),—,—,—,—,"Directly from Greek; the sharpest/highest point; same root as acid, acute, acne",AKME · AKRA · AKMIS,Greek,2
Actualization,Realization / Becoming,"*ag- (to drive, do)",—,—,—,—,actualis,actualizare,energeia (ἐνέργεια),—,sākṣātkāra (साक्षात्कार),—,—,—,—,From actus (done); making real what was potential; Aristotle's energeia is the Greek parallel,AKTIV · AGEIN · ACTUS,Latin,6
Acumen,Sharpness / Insight,"*ak- (sharp, pointed)",—,—,—,acumen,acumen,—,oxytēs (ὀξύτης),—,tīkṣṇatā (तीक्ष्णता),—,—,—,—,Latin acuere=to sharpen; mental sharpness as a pointed weapon; the cutting edge of mind,ACUMEN · AKUTOS · OXYN,Latin,3
Adamantine,Indestructible / Unyielding,*n-dm̥H- (untameable),—,—,—,adamauntyne,—,—,adamantinos (ἀδαμάντινος),adamantin,vajra (वज्र),—,—,—,—,Greek a-daman=unconquerable; shares root with diamond; the hardest imaginable substance,ADAMAN · VAJRIN · DIAMIS,Greek,5
Adaptation,Fitting / Adjusting,"*ap- (to take, reach)",—,—,—,—,adaptatio,adaptare,harmogē (ἁρμογή),adaptation,anukūlana (अनुकूलन),—,—,—,—,Latin aptare=to fit; sense of adjusting precisely to fit a changed context,ADAPTO · APTIS · HARMOG,Latin,4
Advancement,Progress / Forward Motion,*ab-ante- (from before),—,—,—,avancement,—,abantiare,proagōgē (προαγωγή),avancement,pragatī (प्रगति),—,—,—,—,Via French from Vulgar Latin ab ante (from before); moving ahead through time,AVANT · ABANTIS · PROAG,French/Latin,3
Aegis,Protection / Divine Authority,*ayg- (shine) or *aig- (goat),—,—,—,egis,—,—,aigis (αἰγίς),egide,kavaca (कवच),—,—,—,—,Shield of Zeus and Athena; possibly from goat-skin or divine radiance; supreme patronage,AEGIS · AIGOS · EGIDA,Greek,2
Agility,Nimbleness / Speed,"*ag- (to drive, do)",—,—,—,agilitee,agilitas,—,elaphria (ἐλαφρία),agilité,spandana (स्पन्दन),—,—,—,—,"Latin agilis=nimble; same root as act, agitate, agony; driven, responsive motion",AGIL · AGEIS · LAPHIS,Latin,4
Alacrity,Eagerness / Ready Energy,*al- (beyond),—,—,—,alacryte,alacritas,—,prothumia (προθυμία),alacrité,utsāha (उत्साह),—,—,—,—,"Latin alacer=lively, eager; the immediate willingness to spring into motion",ALACRIS · ALACER · PROTH,Latin,4
Alchemical,Transformative / Mysterious,—,—,—,—,alchemical,—,alchimia,khēmeia (χημεία),alchimique,rasāyana (रसायन),al-kīmiyā (الكيمياء),kīmīyā (کیمیا),—,—,Arabic via Greek; possibly from Khemia (Egypt) or khymos (juice); transformation of base to gold,ALKHEM · KHEMIA · RASAYN,Arabic/Greek,4
Alignment,Order / Harmony / Direction,"*lino- (flax, thread)",—,—,—,alinement,lineamentum,—,euthygammia (εὐθυγραμμία),alignement,samarpaṇa (समर्पण),—,—,—,—,From Latin linea (flax thread) via French ligne; the thread pulled taut becomes a line of order,ALIGN · LINEA · LINEIS,French/Latin,3
Alliance,Union / Bond / Partnership,*leig- (to bind),—,—,—,alliance,—,alligare,symmachia (συμμαχία),alliance,sandhi (सन्धि),—,—,—,—,Latin alligare=to bind to; a binding together of parties for common purpose,ALLIG · LIGA · SANDHI,French/Latin,3
Ambrosia,Divine Food / Immortality,*mer- (to die) + neg. *n-,—,—,—,ambrosia,ambrosia,—,ambrosia (ἀμβροσία),ambroisie,amṛta (अमृत),—,—,—,—,Greek a-mbrotos=not-mortal; food that grants immortality; exact parallel to Sanskrit amṛta,AMBROS · AMRIT · AMRIA,Greek,4
